Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
800,"5,689","5,689","69,088","57,725",0.91,"5,165","69,243","60,103",0.14,789,"-1,650",-551,"5,689","72,025","60,480","5,689","2,896","1,118",0.08,463,"64,031","22,000",0.07,424,"44,812","10,195",0.86,"4,895","17,211","11,139","6,628","104,892","22,073"
810,"22,159","22,159","71,597","59,964",0.87,"19,242","71,607","63,656",0.18,4001,-712,-446,"22,159","74,214","62,258","22,159","2,528","1,012",0.11,"2,342","78,847","24,092",0.1,"2,194","52,360","10,312",0.82,"18,235","19,051","12,824","24,571","144,576","51,591"
812,"10,977","10,977","68,006","59,675",0.86,"9,472","68,852","63,857",0.18,1929,"-1,180",-868,"10,977","70,217","61,871","10,977","2,147",900,0.08,847,"76,726","27,900",0.07,814,"51,775","12,210",0.82,"8,996","17,117","12,515","12,590","156,090","67,150"
820,"13,737","13,737","81,272","66,365",0.88,"12,051","76,906","68,589",0.21,2841,-93,-218,"13,737","84,157","69,148","13,737","2,833","1,144",0.1,"1,321","78,931","20,829",0.09,"1,238","52,845","9,235",0.86,"11,792","22,449","14,335","15,477","177,217","56,603"
822,"7,052","7,052","51,643","39,800",0.86,"6,090","49,016","38,166",0.09,664,-461,-242,"7,052","53,057","40,491","7,052","1,330",175,0.05,331,"115,774","32,207",0.04,317,"97,319","17,669",0.7,"4,941","12,430","6,922","9,419","64,215","8,857"
828,"1,018","1,018","78,808","63,473",0.86,879,"70,708","64,974",0.17,173,"1,895",298,"1,018","81,499","65,722","1,018","2,518","1,096",0.09,96,"118,004","45,968",0.09,91,"98,112","21,817",0.84,859,"22,024","13,115","1,118","112,805","43,163"
829,444,444,"64,166","66,614",0.95,420,"65,017","68,856",0.08,34,"-2,664","-2,712",444,"67,061","69,102",444,"2,761","2,050",0.03,15,"243,481","30,400",0.03,15,"214,834","11,633",0.92,408,"12,412","11,462",483,"67,105","26,916"
830,"11,309","11,309","68,974","61,879",0.89,"10,095","69,915","65,657",0.15,1671,"-2,962","-2,118","11,309","71,379","64,080","11,309","2,336","1,014",0.07,744,"76,047","29,746",0.06,723,"51,300","13,674",0.84,"9,459","16,987","12,904","12,519","123,052","59,179"
832,"11,748","11,748","72,355","67,409",0.93,"10,909","74,134","70,501",0.14,1604,"-2,632","-2,069","11,748","74,959","69,907","11,748","2,578","1,327",0.07,769,"67,694","26,548",0.06,746,"46,475","14,428",0.87,"10,216","17,494","14,048","12,417","110,475","59,143"
834,735,735,"74,869","63,501",0.86,635,"73,448","67,026",0.2,150,"-1,581",-152,735,"77,477","66,969",735,"2,550",966,0.07,50,"104,428","61,995",0.07,55,"66,798","22,178",0.82,605,"20,438","14,720",812,"152,411","85,374"
835,"2,760","2,760","76,136","65,592",0.84,"2,312","76,963","70,722",0.24,668,"-2,531","-1,756","2,760","79,085","67,980","2,760","2,786",984,0.1,279,"101,499","47,580",0.1,276,"71,819","18,878",0.83,"2,280","20,818","14,984","3,146","196,627","107,108"
836,"5,121","5,121","73,134","64,093",0.85,"4,355","75,264","69,545",0.2,1029,"-1,609","-1,488","5,121","75,659","66,271","5,121","2,428",945,0.09,477,"103,680","53,457",0.09,462,"77,045","26,554",0.84,"4,293","19,093","14,109","5,709","158,577","92,542"
