,Merchant_ABN,segment,postcode,Predicted,Predicted_rank_next
1,24015576448,specialty,6991,-82.84326,1
2,12771097467,specialty,2112,-56.46397,2
3,38700038932,specialty,2604,-55.871723,3
4,96680767841,specialty,5606,-12.147313,4
5,79827781481,lifestyle,3194,-9.547556,5
6,27326652377,entertainment,2519,-8.406601,6
7,58454491168,technical,6507,-7.53296,7
8,98166254020,lifestyle,6385,-4.080622,8
9,45433476494,technical,4215,-0.7277333,9
10,63123845164,lifestyle,4374,2.0936742,10
11,80551528183,specialty,4880,3.8258796,11
12,49549583265,specialty,3201,8.646867,12
13,94493496784,lifestyle,4856,11.143671,13
14,93558142492,accessory,7320,11.71506,14
15,82368304209,technical,3005,12.667427,15
16,98518649381,lifestyle,3610,13.639951,16
17,22033359776,specialty,6470,13.687935,17
18,57757792876,lifestyle,2336,14.038465,18
19,94690988633,technical,7320,14.399862,19
20,32361057556,lifestyle,6470,14.911462,20
21,67978471888,lifestyle,3491,16.406982,21
22,48534649627,specialty,5321,16.41791,22
23,89022158521,entertainment,1819,17.39393,23
24,40515428545,lifestyle,5011,18.918642,24
25,42355028515,lifestyle,5321,19.279158,25
26,81219314324,lifestyle,1819,21.206194,26
27,75454398468,specialty,5075,22.594755,27
28,76819856970,specialty,6385,22.969969,28
29,90568944804,specialty,2141,23.737099,29
30,21439773999,technical,6470,24.652386,30
31,34096466752,technical,2519,26.081959,31
32,13514558491,specialty,4029,30.658968,32
33,95574756848,specialty,2890,31.536753,33
34,52594457116,specialty,2336,31.87159,34
35,35909341340,technical,4215,33.424343,35
36,71759376949,entertainment,3525,37.534485,36
37,67400260923,technical,3415,37.92396,37
38,49322182190,accessory,3415,37.92396,37
39,21772962346,lifestyle,6412,37.92396,37
40,80518954462,technical,4215,38.254425,38
41,98973094975,entertainment,7320,39.52532,39
42,34179569263,entertainment,2515,41.55472,40
43,31385641294,specialty,1021,41.58062,41
44,87084550311,specialty,6467,41.765667,42
45,99976658299,accessory,4346,41.812965,43
46,76314317957,lifestyle,4856,43.568634,44
47,17488304283,technical,3491,44.291542,45
48,72472909171,entertainment,6470,45.838924,46
49,43127814599,lifestyle,7017,46.442654,47
50,85529538986,specialty,5139,46.855595,48
51,77590625261,technical,1819,47.03194,49
52,27093785141,lifestyle,4215,47.420998,50
53,79417999332,lifestyle,6470,47.71778,51
54,81761494572,accessory,1819,47.8056,52
55,62224020443,accessory,2062,48.67165,53
56,86710922099,lifestyle,3174,49.44275,54
57,60956456424,lifestyle,1819,49.48062,55
58,76767266140,lifestyle,3214,53.60131,56
59,49505931725,entertainment,3415,53.67052,57
60,99291944648,entertainment,3015,55.222576,58
61,26169574842,entertainment,7109,55.45017,59
62,21359184622,specialty,3265,56.412334,60
63,98072939449,lifestyle,5410,59.673073,61
64,64403598239,entertainment,2336,62.21832,62
65,39649557865,lifestyle,4511,62.415886,63
66,94455880010,technical,3415,66.97997,64
67,70033549200,specialty,5432,67.412796,65
68,15043504837,accessory,1830,67.8181,66
69,88358066529,lifestyle,3194,68.5957,67
70,38090089066,lifestyle,1819,68.62171,68
71,35223308778,entertainment,6470,69.31167,69
72,11439466003,accessory,7250,69.52248,70
73,46012371285,entertainment,5321,71.04519,71
74,68559320474,lifestyle,7320,73.98447,72
75,61080648284,lifestyle,6969,74.506996,73
76,38212167834,lifestyle,3621,74.70239,74
77,13812221471,entertainment,4815,75.0375,75
78,23338656015,accessory,4215,75.46175,76
79,16058191622,lifestyle,3070,75.82063,77
80,88699453206,lifestyle,5321,78.105736,78
81,78760357380,technical,3415,78.259735,79
82,83199298021,lifestyle,4892,78.80488,80
83,77338620996,technical,2500,79.35293,81
84,49212265466,lifestyle,4556,81.5095,82
85,50315283629,lifestyle,2538,84.082504,83
86,25732256442,entertainment,1819,87.89848,84
87,90543168331,lifestyle,1003,93.23052,85
88,35809331583,lifestyle,3558,94.867836,86
89,98269572896,lifestyle,6470,95.92429,87
90,29616684420,accessory,1819,98.52731,88
91,46298404088,entertainment,6470,100.875916,89
92,83690644458,lifestyle,2538,102.523125,90
93,29639699851,lifestyle,8045,104.77945,91
94,16288327194,technical,4215,111.43975,92
95,52959528548,lifestyle,3415,111.65832,93
96,18158387243,lifestyle,6083,112.65612,94
97,36066395091,lifestyle,3689,113.827934,95
98,63817709749,entertainment,5641,114.07005,96
99,90173050473,lifestyle,2336,114.54638,97
100,41271931352,technical,1819,117.11723,98
101,57699602880,lifestyle,2787,117.38864,99
102,22227727512,specialty,5066,118.930855,100
103,58314972637,entertainment,7171,120.39109,101
104,37379915451,lifestyle,2423,121.671074,102
105,75723980434,lifestyle,6054,122.024864,103
106,62607401721,specialty,2278,126.85518,104
107,71528203369,accessory,8011,128.84496,105
108,71247553576,entertainment,6324,130.8427,106
109,93260930990,technical,6990,131.8598,107
110,92065881715,specialty,7320,132.63127,108
111,89726005175,specialty,6470,136.89575,109
112,48465277903,entertainment,2330,138.62683,110
113,60836029312,specialty,6385,138.73532,111
114,67142049268,specialty,5483,139.47595,112
115,19492220327,accessory,3164,140.09866,113
116,10596295795,accessory,4818,143.42503,114
117,89932674734,lifestyle,4580,145.32076,115
118,78073971498,lifestyle,3824,147.53883,116
119,44345785419,accessory,6069,147.9832,117
120,98627514823,lifestyle,5575,149.03085,118
121,70009327857,lifestyle,4346,154.12094,119
122,62483383956,specialty,5127,155.69319,120
123,28057731482,entertainment,5713,157.45158,121
124,32709545238,lifestyle,5606,157.52376,122
125,38337815814,specialty,2062,157.95885,123
126,30214222203,entertainment,2166,160.11095,124
127,53126107676,lifestyle,6951,165.73904,125
128,86578477987,accessory,7320,165.9355,126
129,11237511112,specialty,2062,167.20067,127
130,38012560280,lifestyle,6467,168.34097,128
131,45946543693,lifestyle,6574,169.64294,129
132,45899477665,entertainment,1825,169.88585,130
133,31397959824,entertainment,1819,171.61539,131
134,56796971172,accessory,2902,171.62764,132
135,14058755389,lifestyle,3987,171.89342,133
136,15560455575,entertainment,4215,173.14792,134
137,69069584766,technical,5700,173.26176,135
138,82448693380,technical,6849,173.87032,136
139,49891706470,specialty,3415,174.10406,137
140,31334588839,lifestyle,1034,176.47745,138
141,68435002949,lifestyle,2042,177.20755,139
142,97159474697,lifestyle,5019,179.26273,140
143,45629217853,lifestyle,4215,180.28214,141
144,66818634899,lifestyle,4660,181.6874,142
145,88563451053,entertainment,5108,182.72742,143
146,63290521567,lifestyle,7320,182.9659,144
147,20325086904,lifestyle,1300,183.93878,145
148,55402538421,lifestyle,3487,185.13258,146
149,55559667703,specialty,2869,185.21486,147
150,74142277711,lifestyle,5606,186.99345,148
151,68645868338,specialty,3415,187.52617,149
152,72058040180,lifestyle,2135,187.7453,150
153,42543374304,technical,3015,188.51837,151
154,68004106739,technical,6078,189.16626,152
155,45244796758,technical,4225,189.67554,153
156,85362139954,accessory,2111,190.3871,154
157,64644843223,specialty,2141,193.19362,155
158,72738688428,entertainment,6072,195.21411,156
159,29641342749,technical,8011,195.52626,157
160,22549192713,entertainment,2749,196.77713,158
161,97603729191,lifestyle,5604,198.65137,159
162,10648956813,technical,3724,200.06145,160
163,20240471832,specialty,3052,202.4759,161
164,66432686430,specialty,5415,203.2862,162
165,93260450766,technical,5606,203.70753,163
166,89502033586,entertainment,1819,206.19794,164
167,79633007926,specialty,7320,206.34982,165
168,74063123996,lifestyle,6751,207.04309,166
169,91720867026,accessory,6470,208.02979,167
170,75850458091,lifestyle,7264,208.30234,168
171,94472466107,technical,3591,208.60265,169
172,88539253623,lifestyle,2452,209.19942,170
173,42150648766,specialty,2290,211.14784,171
174,76078244980,specialty,4215,213.53136,172
175,73489866331,lifestyle,5321,215.17004,173
176,24989367414,entertainment,6722,218.79686,174
177,75034515922,entertainment,6470,220.58214,175
178,74093231988,lifestyle,1130,222.2264,176
179,24015173965,technical,3415,223.2721,177
180,17950989709,lifestyle,1021,223.67796,178
181,82179892802,specialty,5220,224.61058,179
182,86101203168,specialty,3188,227.39064,180
183,62692834922,technical,3662,227.40085,181
184,83815730799,lifestyle,5560,228.01132,182
185,32560075533,entertainment,2336,228.73738,183
186,90692244747,technical,5606,230.40906,184
187,38435278995,entertainment,4815,231.50262,185
188,10323485998,lifestyle,4856,231.76587,186
189,74589998324,lifestyle,3465,231.82883,187
190,60023412760,entertainment,1741,232.20694,188
191,66842618444,accessory,4073,232.96509,189
192,41974958954,technical,3491,233.31729,190
193,96161808980,entertainment,1314,233.41667,191
194,25884436429,specialty,2455,233.55615,192
195,84703983173,technical,5410,233.63835,193
196,55090181035,technical,4118,234.11728,194
197,60061691817,lifestyle,2538,234.11728,194
198,20364924160,technical,7209,235.10738,195
199,86772484982,entertainment,3724,235.59073,196
200,60462729568,lifestyle,5132,235.64871,197
201,71989214810,technical,6705,235.78798,198
202,51016899219,specialty,4075,237.00114,199
203,75944642726,specialty,2423,237.15372,200
204,72177236569,specialty,2645,237.5228,201
205,15269431008,lifestyle,4872,237.5506,202
206,52160665475,entertainment,4346,237.78276,203
207,96781066746,specialty,6939,237.92303,204
208,85574524327,entertainment,2034,238.22783,205
209,12870663624,lifestyle,4520,238.60103,206
210,32946666313,technical,5141,239.82874,207
211,17158952809,entertainment,4215,239.89395,208
212,22526511302,technical,4346,240.25183,209
213,41705715409,lifestyle,5132,240.32549,210
214,26148653604,lifestyle,5075,240.44618,211
215,52794670013,lifestyle,1137,241.58347,212
216,31637210281,lifestyle,3275,243.00204,213
217,59658193201,technical,2538,243.46841,214
218,75090756544,technical,3724,243.73102,215
219,46916077029,lifestyle,3936,244.7322,216
220,44454840859,technical,3789,244.92628,217
221,99845294286,entertainment,3019,246.022,218
222,29521780474,technical,2423,246.12094,219
223,98416475066,technical,2826,246.19728,220
224,35556933338,entertainment,3415,246.76195,221
225,18883136194,lifestyle,3415,247.1599,222
226,90087872851,entertainment,4856,248.26024,223
227,49536733338,lifestyle,4802,248.3738,224
228,97434297484,specialty,1314,248.59206,225
229,64732735902,technical,6029,248.75761,226
230,70620117107,specialty,4815,248.84093,227
231,54611298155,entertainment,3236,249.1129,228
232,43186523025,lifestyle,1819,249.37277,229
233,98861937890,lifestyle,5243,249.9106,230
234,87717092177,specialty,1023,251.1115,231
235,58476363584,accessory,6470,251.393,232
236,43725628716,entertainment,6935,251.45251,233
237,34172909925,specialty,6395,252.65996,234
238,86871438193,lifestyle,4551,252.70525,235
239,62583219931,specialty,6945,253.56064,236
240,92368600426,specialty,2720,253.867,237
241,60573599765,lifestyle,3012,254.40651,238
242,57253456204,specialty,4849,254.45105,239
243,72897360319,technical,5074,254.5229,240
244,60111071436,technical,6470,257.1719,241
245,97292256063,entertainment,5301,257.37988,242
246,61085944703,technical,3005,257.69266,243
247,44403753948,lifestyle,6574,257.74222,244
248,91873181182,entertainment,8011,258.05472,245
249,90578415511,lifestyle,5321,259.71716,246
250,86662713230,accessory,4346,260.0601,247
251,82065156333,specialty,1819,261.66214,248
252,62204398944,specialty,2655,261.80676,249
253,52535771754,specialty,6034,261.98367,250
254,45380641195,technical,6385,262.13687,251
255,47663262928,technical,2869,262.99634,252
256,78118727544,lifestyle,2564,264.34122,253
257,56624752594,lifestyle,1168,264.54843,254
258,49125619545,technical,4551,265.51053,255
259,51401317633,specialty,853,265.738,256
260,39060546194,entertainment,5493,266.3647,257
261,38736067045,lifestyle,7211,266.4785,258
262,70893725439,accessory,2336,266.9169,259
263,40776514177,specialty,3782,267.93988,260
264,45056974934,technical,6220,268.21176,261
265,84057522285,lifestyle,5108,268.935,262
266,23925773818,specialty,2282,269.18158,263
267,80701973278,accessory,6220,270.2488,264
268,60650953328,accessory,4815,270.9375,265
269,92836597532,specialty,4025,270.98676,266
270,99803748393,lifestyle,1819,271.39163,267
271,97860823526,technical,6997,271.4078,268
272,47459279421,accessory,1300,271.9766,269
273,58729395250,entertainment,5011,272.25256,270
274,27251742541,technical,3415,275.16995,271
275,73343245974,entertainment,2399,275.62772,272
276,35014882568,entertainment,1300,275.71756,273
277,62694031334,technical,6470,277.93512,274
278,30942453214,specialty,3396,278.43237,275
279,12741443840,lifestyle,3583,278.81982,276
280,23692710924,lifestyle,4411,280.35922,277
281,40279146273,entertainment,6324,280.3676,278
282,29625244690,entertainment,4477,281.09058,279
283,88553358884,accessory,3591,281.82825,280
284,44473011453,lifestyle,3409,285.1665,281
285,82812059627,lifestyle,5067,286.14224,282
286,96133248275,lifestyle,6760,287.89536,283
287,50075408315,entertainment,2624,290.11417,284
288,66079287213,lifestyle,5321,290.22784,285
289,82417485604,specialty,5810,290.9886,286
290,29253286472,accessory,4800,292.0412,287
291,99467302626,lifestyle,3670,292.33176,288
292,92343252737,entertainment,3521,292.58426,289
293,20520680348,lifestyle,5720,293.1779,290
294,76626119831,lifestyle,4856,293.30658,291
295,29730124424,specialty,6078,293.69434,292
296,25938405651,lifestyle,3896,293.70865,293
297,82076270246,lifestyle,4815,294.59827,294
298,32605756719,entertainment,6072,295.55048,295
299,21094505909,lifestyle,5582,295.79694,296
300,63978837398,technical,1027,296.57983,297
301,13839274306,technical,5150,297.7527,298
302,57860746842,accessory,1597,298.5792,299
303,62580273150,entertainment,4507,298.7055,300
304,87771712045,technical,3796,300.40326,301
305,81410315303,specialty,3491,301.9135,302
306,53062283717,accessory,3062,302.06198,303
307,22718657980,lifestyle,3283,302.96408,304
308,40049033270,lifestyle,5483,303.74686,305
309,61213731974,specialty,3094,304.42883,306
310,61910841091,lifestyle,5321,307.7341,307
311,11121775571,entertainment,5582,308.07843,308
312,15069598461,lifestyle,1819,308.1402,309
313,97217894162,lifestyle,4156,308.50793,310
314,44659323510,lifestyle,6059,309.10706,311
315,34459028045,lifestyle,4208,310.82712,312
316,69703285964,technical,6470,314.17514,313
317,88547577701,specialty,1819,315.2387,314
318,65189626072,lifestyle,3658,315.83795,315
319,88923351769,lifestyle,2086,316.30725,316
320,72231375027,technical,1010,318.19443,317
321,95431176007,technical,2782,319.73953,318
322,81909596183,lifestyle,4426,320.10626,319
323,66941458060,entertainment,5661,320.9896,320
324,20435488659,specialty,2425,322.29346,321
325,14583462783,lifestyle,3750,322.74188,322
326,60813622669,technical,829,323.07144,323
327,50589958690,technical,2821,324.2148,324
328,79269463423,accessory,6470,326.49597,325
329,18303734841,lifestyle,4215,331.82852,326
330,79830510987,entertainment,3491,333.3057,327
331,37967061831,specialty,2152,334.1578,328
332,19111577631,specialty,3179,335.4685,329
333,86182863634,lifestyle,6470,336.10474,330
334,24471518053,lifestyle,3789,336.19647,331
335,31823794994,entertainment,3409,336.41556,332
336,69236417931,lifestyle,6332,336.5298,333
337,40272107679,technical,6158,337.43152,334
338,59737558413,specialty,4032,338.12244,335
339,58727332026,lifestyle,3136,338.12244,335
340,11700214701,specialty,5432,338.12244,335
341,91630014920,accessory,7320,340.50348,336
342,25083422701,entertainment,3941,343.63226,337
343,41305045812,lifestyle,6323,344.4726,338
344,15790540567,technical,3161,344.60675,339
345,57900494384,specialty,7320,345.2187,340
346,23109950638,lifestyle,1300,347.11954,341
347,11802512399,specialty,3309,348.37225,342
348,97884414539,lifestyle,6560,349.10718,343
349,23527526869,technical,4511,352.1385,344
350,52342208808,entertainment,906,352.22604,345
351,55306842177,lifestyle,2300,352.27646,346
352,55842128301,accessory,5431,352.35223,347
353,23092329041,lifestyle,6395,352.58765,348
354,55417076134,technical,3015,354.99408,349
355,77368674747,lifestyle,6102,354.99786,350
356,22469567189,technical,4461,355.30005,351
357,18935690984,lifestyle,6635,357.4388,352
358,64938910147,lifestyle,6912,358.0542,353
